n,time
16900,56
16910,67
16920,37
16930,10
16940,43
16950,98
16960,2
16970,42
16980,16
16990,41
17000,11
17010,111
17020,95
17030,4
17040,40
17050,13
17060,30
17070,31
17080,45
17090,21
17100,61
17110,212
17120,61
17130,27
17140,43
17150,47
17160,28
17170,140
17180,38
17190,27
17200,2
17210,46
17220,27
17230,73
17240,6
17250,122
17260,285
17270,26
17280,128
17290,115
17300,70
17310,89
17320,12
17330,65
17340,0
17350,50
17360,61
17370,1
17380,12
17390,1
17400,54
17410,106
17420,60
17430,39
17440,7
17450,48
17460,1
17470,23
17480,10
17490,53
17500,34
17510,23
17520,53
17530,80
17540,19
17550,13
17560,56
17570,47
17580,12
17590,27
17600,10
17610,2
17620,1
17630,65
17640,153
17650,0
17660,36
17670,24
17680,42
17690,334
17700,2
17710,50
17720,22
17730,69
17740,26
17750,4
17760,90
17770,22
17780,11
17790,8
17800,15
17810,34
17820,15
17830,28
17840,49
17850,98
17860,115
17870,30
17880,11
17890,6
17900,160
17910,62
17920,14
17930,37
17940,18
17950,24
17960,28
17970,78
17980,38
17990,65
18000,17
18010,42
18020,40
18030,6
18040,13
18050,70
18060,15
18070,20
18080,35
18090,75
18100,24
18110,19
18120,85
18130,38
18140,81
18150,39
18160,20
18170,51
18180,43
18190,103
18200,54
18210,10
18220,31
18230,17
18240,2
18250,33
18260,90
18270,73
18280,30
18290,52
18300,106
18310,40
18320,44
18330,212
18340,1
18350,32
18360,4
18370,26
18380,32
18390,29
18400,29
18410,4
18420,48
18430,84
18440,1
18450,16
18460,78
18470,15
18480,3
18490,6
18500,39
18510,8
18520,125
18530,5
18540,284
18550,18
18560,29
18570,18
18580,87
18590,11
18600,8
18610,25
18620,23
18630,17
18640,12
18650,22
18660,14
18670,18
18680,43
18690,14
18700,31
18710,40
18720,17
18730,2
18740,142
18750,104
18760,15
18770,16
18780,56
18790,22
18800,28
18810,12
18820,43
18830,8
18840,30
18850,42
18860,99
18870,38
18880,68
18890,34
18900,83
18910,38
18920,4
18930,51
18940,135
18950,8
18960,66
18970,4
18980,25
18990,2
19000,72
19010,63
19020,44
19030,42
19040,6
19050,110
19060,24
19070,21
19080,57
19090,8
19100,17
19110,5
19120,163
19130,70
19140,37
19150,12
19160,89
19170,36
19180,54
19190,7
19200,13
19210,78
19220,2
19230,26
19240,4
19250,54
19260,79
19270,5
19280,29
19290,33
19300,1
19310,112
19320,21
19330,13
19340,44
19350,50
19360,49
19370,149
19380,91
19390,16
19400,88
19410,6
19420,9
19430,12
19440,31
19450,25
19460,0
19470,27
19480,19
19490,23
19500,42
19510,77
19520,9
19530,57
19540,13
19550,22
19560,1
19570,45
19580,27
19590,0
19600,41
19610,87
19620,11
19630,44
19640,0
19650,40
19660,22
19670,4
19680,70
19690,6
19700,2
19710,59
19720,7
19730,71
19740,1
19750,0
19760,11
19770,14
19780,59
19790,4
19800,28
19810,117
19820,54
19830,1
19840,22
19850,27
19860,14
19870,28
19880,5
19890,95
19900,49
19910,75
19920,34
19930,25
19940,6
19950,218
19960,15
19970,31
19980,30
19990,46
20000,134
20010,14
20020,20
20030,19
20040,13
20050,51
20060,8
20070,26
20080,26
20090,53
20100,33
20110,7
20120,8
20130,30
20140,21
20150,56
20160,0
20170,13
20180,47
20190,12
20200,19
20210,41
20220,51
20230,19
20240,45
20250,39
20260,32
20270,10
20280,75
20290,144
20300,11
20310,0
20320,4
20330,26
20340,111
20350,109
20360,18
20370,18
20380,8
20390,36
20400,19
20410,66
20420,28
20430,4
20440,45
20450,42
20460,69
20470,1
20480,103
20490,55
20500,57
20510,18
20520,180
20530,4
20540,19
20550,54
20560,43
20570,9
20580,64
20590,222
20600,23
20610,37
20620,5
20630,60
20640,86
20650,11
20660,2
20670,30
20680,22
20690,177
20700,38
20710,162
20720,94
20730,156
20740,67
20750,63
20760,9
20770,11
20780,120
20790,57
20800,98
20810,9
20820,15
20830,26
20840,46
20850,59
20860,16
20870,23
20880,47
20890,19
20900,52
20910,44
20920,11
20930,14
20940,37
20950,23
20960,4
20970,42
20980,92
20990,92
21000,95
21010,11
21020,108
21030,68
21040,33
21050,56
21060,0
21070,4
21080,5
21090,59
21100,29
21110,36
21120,34
21130,42
21140,25
21150,97
21160,11
21170,11
21180,40
21190,8
21200,33
21210,125
21220,91
21230,144
21240,23
21250,101
21260,16
21270,84
21280,19
21290,152
21300,83
21310,55
21320,37
21330,23
21340,139
21350,142
21360,54
21370,20
21380,48
21390,36
21400,142
21410,28
21420,12
21430,88
21440,93
21450,34
21460,40
21470,57
21480,9
21490,22
21500,32
21510,4
21520,54
21530,21
21540,9
21550,74
21560,13
21570,50
21580,163
21590,7
21600,14
21610,2
21620,20
21630,222
21640,11
21650,47
21660,48
21670,74
21680,117
21690,44
21700,5
21710,63
21720,27
21730,6
21740,20
21750,77
21760,32
21770,143
21780,61
21790,17
21800,4
21810,135
21820,65
21830,51
21840,78
21850,35
21860,47
21870,33
21880,25
21890,30
21900,23
21910,8
21920,33
21930,20
21940,126
21950,0
21960,8
21970,188
21980,94
21990,3
22000,19
22010,41
22020,165
22030,18
22040,40
22050,9
22060,17
22070,34
22080,2
22090,12
22100,95
22110,24
22120,16
22130,12
22140,73
22150,17
22160,12
22170,4
22180,144
22190,29
22200,97
22210,123
22220,114
22230,10
22240,25
22250,176
22260,152
22270,57
22280,42
22290,65
22300,12
22310,21
22320,115
22330,40
22340,24
22350,35
22360,16
22370,41
22380,88
22390,102
22400,259
22410,131
22420,58
22430,26
22440,1
22450,62
22460,25
22470,128
22480,76
22490,75
22500,31
22510,35
22520,35
22530,43
22540,81
22550,74
22560,29
22570,25
22580,29
22590,120
22600,107
22610,45
22620,31
22630,80
22640,89
22650,0
22660,148
22670,81
22680,54
22690,101
22700,184
22710,0
22720,15
22730,27
22740,63
22750,100
22760,121
22770,11
22780,184
22790,6
22800,77
22810,146
22820,63
22830,166
22840,220
22850,79
22860,142
22870,61
22880,83
22890,2
22900,85
22910,12
22920,50
22930,1
22940,85
22950,44
22960,15
22970,72
22980,45
22990,14
23000,5
23010,14
23020,68
23030,20
23040,15
23050,20
23060,54
23070,109
23080,121
23090,45
23100,17
23110,44
23120,18
23130,28
23140,48
23150,34
23160,22
23170,116
23180,87
23190,19
23200,28
23210,15
23220,6
23230,45
23240,58
23250,6
23260,49
23270,86
23280,122
23290,44
23300,70
23310,47
23320,8
23330,2
23340,16
23350,80
23360,27
23370,13
23380,50
23390,30
23400,14
23410,8
23420,35
23430,15
23440,23
23450,37
23460,251
23470,17
23480,78
23490,70
23500,20
23510,36
23520,29
23530,8
23540,4
23550,26
23560,31
23570,50
23580,4
23590,175
23600,8
23610,29
23620,103
23630,6
23640,135
23650,1
23660,12
23670,28
23680,97
23690,22
23700,39
23710,42
23720,35
23730,52
23740,67
23750,0
23760,112
23770,19
23780,8
23790,23
23800,61
23810,32
23820,87
23830,9
23840,51
23850,82
23860,65
23870,20
23880,127
23890,98
23900,2
23910,80
23920,45
23930,14
23940,2
23950,39
23960,0
23970,0
23980,0
23990,54
24000,57
24010,69
24020,77
24030,20
24040,2
24050,14
24060,31
24070,145
24080,4
24090,24
24100,19
24110,33
24120,39
24130,42
24140,4
24150,32
24160,175
24170,20
24180,5
24190,210
24200,12
24210,2
24220,129
24230,8
24240,82
24250,67
24260,14
24270,82
24280,12
24290,53
24300,6
24310,54
24320,48
24330,9
24340,20
24350,26
24360,107
24370,58
24380,81
24390,140
24400,24
24410,12
24420,32
24430,170
24440,20
24450,82
24460,72
24470,2
24480,46
24490,93
24500,7
24510,0
24520,4
24530,8
24540,138
24550,21
24560,113
24570,46
24580,36
24590,137
24600,29
24610,37
24620,55
24630,28
24640,21
24650,57
24660,32
24670,34
24680,49
24690,12
24700,8
24710,124
24720,32
24730,40
24740,1
24750,137
24760,104
24770,16
24780,22
24790,14
24800,38
24810,14
24820,60
24830,232
24840,6
24850,41
24860,11
24870,2
24880,22
24890,135
24900,18
24910,74
24920,61
24930,20
24940,19
24950,33
24960,76
24970,32
24980,102
24990,79
25000,27
25010,28
25020,2
25030,4
25040,8
25050,53
25060,76
25070,80
25080,33
25090,106
25100,100
25110,45
25120,21
25130,97
25140,64
25150,93
25160,11
25170,11
25180,60
25190,2
25200,31
25210,5
25220,35
25230,22
25240,71
25250,12
25260,29
25270,1
25280,21
25290,27
25300,47
25310,149
25320,29
25330,3
25340,150
25350,55
25360,152
25370,340
25380,200
25390,28
25400,14
25410,119
25420,107
25430,20
25440,103
25450,61
25460,28
25470,20
25480,28
25490,76
25500,22
25510,37
25520,60
25530,86
25540,16
25550,23
25560,8
25570,5
25580,54
25590,2
25600,25
25610,12
25620,184
